#genes:547
#downstream:1000	upstream:1000	body:0	bin size:1000	unscaled 5 prime:0	unscaled 3 prime:0
genes:547	bwa_K002000134_64008_1	bwa_K002000134_64008_1	bwa_K002000134_64011_1	bwa_K002000134_64011_1	bwa_K002000134_64013_1	bwa_K002000134_64013_1	H3K27ac_PGCLCd2_2_RPGC	H3K27ac_PGCLCd2_2_RPGC	H3K27ac_PGCLCd6_2_RPGC	H3K27ac_PGCLCd6_2_RPGC
12.54	24.8	6.333	16.12	10.83	23.84	27.32	47.17	22.17	37.55
26.83	22.29	16.54	16.08	25.16	21.43	56.46	51.32	45.57	34.84
23.08	17.04	15.46	12.48	21.37	16.95	40.94	41.42	30.82	32.25
24.51	47.59	29.97	51.45	10.29	23.62	5.576	12.94	9.872	18.29
43.85	36.2	53.16	32.84	22.67	14.65	11.33	12.16	18.19	13.52
48.76	21.36	51.17	25.2	23.47	8.532	13.48	6.148	18.79	8.143
31.73	18.93	3.883	2.154	3.449	1.641	7.179	3.249	38.47	27.89
9.549	11.55	5.538	6.457	1.594	1.105	3.548	4.241	18.79	22.1
32.57	33.65	5.919	5.682	1.318	1.301	1.407	1.591	14.14	12.92
0.6195	0.5865	1.332	1.722	2.294	2.294	18.86	12.79	0.2928	0.5447
28.34	28.64	1.243	1.369	4.993	4.089	57.19	18.08	58.09	54.05
30.36	34.72	1.739	1.076	2.844	1.983	6.329	4.418	38.31	40.62
20.18	25.64	1.891	1.995	2.061	3.189	3.881	7.188	21.71	23.46
21.58	14.14	1.656	0.8435	3.056	1.805	4.652	3.387	15.38	10.67
18.03	16.61	1.514	1.426	2.698	2.427	4.542	1.604	12.02	6
41.86	43.64	6.705	7.288	6.89	5.914	1.456	2.96	8.062	8.715
54.91	72.75	11.03	21.12	4.112	5.859	2.08	3.819	28.33	26.03
72.11	42.96	21.09	13.32	5.856	2.735	3.577	1.646	25.95	9.99
40.65	29.03	5.013	2.401	2.911	1.342	0.787	0.7483	7.518	8.661
6.32	12.43	0.6341	0.5701	1.839	3.761	8.804	12.18	17.68	21.12
9.177	10.26	0.4607	0.7295	2.773	2.852	12.18	14.66	20.32	26.41
7.448	1.92	1.374	0.7039	3.284	1.555	7.466	2.765	17.28	4.545
0.6485	1.516	0.7539	1.597	0.7144	0.7222	1.221	1.294	9.582	11.69
1.563	0.6419	1.507	1.088	0.6655	0.9722	0.4348	1.431	13.28	9.111
1.717	0.3308	1.68	0.8656	0.7277	0.8999	1.384	0.4295	12.37	6.816
5.669	10.38	1.68	4.602	3.495	6.33	20.23	40.47	83.39	117.2
4.422	12.32	1.908	8.796	5.311	8.683	8.165	13.98	5.968	10.36
